이름,Pattern Type,해석
Long Days,기본 형태,"- 주로 꼬리보다 캔들의 몸통 길이가 큰 경우이다.
 

 - 하루 동안 시가와 종가의 차이가 크게 나는 형태이다(즉 몸통이 캔들차트에 비해 상당히 큰 것을 말한다)."
Short Days,기본 형태,"- Long Days와 대조적인 형태이다.
 

 - 하루 동안 시가와 종가의 차이가 적게 나는 형태이다(즉 몸통이 캔들차트에 비해 작거나 거의 없는 형태를 말한다)."
Spinning Tops,기본 형태,"- 몸통의 길이에 비해 꼬리의 길이가 상당히 긴 형태의 캔들이다.
 

 - 이러한 형태는 강세와 약세의 형세가 애매한 국면에서 매수세와 매도세가 팽팽한 눈치를 보일 때 나타난다.
 

 - 주로 추세 전환 국면이나 지지나 저항이 크게 작용하는 국면에서 나타난다."
Long-Legged Doji,기본 형태,"- Long-Legged Doji는 윗꼬리, 아랫꼬리가 길다.
 

 - 일간으로 보면 급등락을 거듭하는 뇌동 매매에서 흔히 발생한다.
 

 - 이 패턴은 독립적인 해석보다는 다음날 발생하는 캔들과 동시에 해석하면 좋다.
 

 - 이전 추세가 상승이었다면 하락 반전 될 가능성이 높고, 반대로 하락 추세였다면 상승 전환될 확률이 크다."
GraveStone Doji,기본 형태,"- 시가 이후에 강한 상승세를 보이다가 종가에 저가인 시가 수준으로 되밀려 마감하는 형태이다.
 

 - 이전 추세가 상승이었다면 하락 반전 될 가능성이 높고, 반대로 하락 추세였다면 상승 전환될 확률이 크다."
Dragon Fly Doji,기본 형태,"- 시가와 고가, 그리고 종가가 거의 비슷한 수준에서 결정되는 형태의 캔들이다.
 

 - 이전의 추세가 하락 국면이었다면 상승 전활될 가능성이 크고, 반대로 이전의 추세가 상승 국면이었다면 하락 전환될 가능성이 있다."
Four Price Doji,기본 형태,"- 시가, 고가, 저가, 종가가 같거나 거의 비슷한 수준에서 형성되는 형태의 캔들이다.
 

 - 거래량이 부진하고 발생확률도 크지 않다.
 

 - 이 패턴은 독립적인 해석보다는 다음날 발생하는 캔들과 동시에 해석해야 한다."
Star,기본 형태,"- 전날의 긴 몸통(장대 양봉 또는 장대 음봉)에 이어 자주 나타나는 유형이다.
 

 - 추세의 고점과 저점에 나타나는 대표적인 전환 패턴 중 하나이다.
 

 - 색깔은 그리 중요하지 않으며, 가끔 추세의 중간에 나타나 잠시 휴식을 가진 후 재차 이전의 추세로 주가가 진행되기도 한다."
Closing Marubozu,기본 형태,"- Long Days와 비슷하나 꼬리가 없다는 것이 차이점이다.
 

 - Closing Marubozu는 몸통의 종가에 꼬리를 가지고 있지 않은 형태이다.
 양봉이면 종가에 윗꼬리가 없고, 음봉이면 종가에 아랫꼬리가 없다.
 

 - 양봉은 강세 국면을, 음봉은 약세 국면을 나타낸다."
Opening Marubozu,기본 형태,"- Long Days와 비슷하나 꼬리가 없다는 것이 차이점이다.
 

 - 몸통의 시가에 꼬리를 가지고 있지 않은 형태이다.
 

 - 양봉이면 시가에 아랫꼬리를 가지고 있지 않고, 음봉이면 시가에 윗꼬리를 가지고 있지 않은 경우이다.
 

 - 일반적으로 Opening Marubozu보다 Closing Marubozu가 다음날 주가에 미치는 영향이 강하다."
Black Marubozu,기본 형태,"- 음봉으로 몸통의 위와 아래에 꼬리가 없는, 즉 시가와 고가가 같고 종가가 저가와 같은 형태이다.
 

 - 이전의 하락 추세에 나타나면 지속으로 하락을 예상할 수 있다.
 

 - 매우 취약한 하락 장세를 나타내는 캔들이다."
White Marubozu,기본 형태,"- 양봉으로 몸통의 위와 아래에 꼬리가 없는, 즉 시가와 고가가 같고 종가가 저가와 같은 형태이다.
 

 - 이전의 상승 추세에 나타나면 지속으로 상승을 예상할 수 있다.
 

 - 매우 강력한 상승 장세를 나타내는 캔들로 상승 지속형 패턴으로 본다."
Shooting Star,하락 반전 형태,"- 주가 상승 국면중에 최고점에서 나타난다.
 

 - 시가가 갭을 이루며 상승 출발하였닥다 긴 윗꼬리를 형성하며 추가 상승에 실패하며 되밀려서 시가부근에서 종가가 형성된다.
 

 - 짧은 몸통을 형성하는 패턴이다.
 

 - Inverse Hammer와 동일한 패턴으로 종가가 저가 부근이나 동일하게 형성되는 형태이며, 일반적으로 이 패턴 이후에는 추세가 하락 반전될 가능성이 매우 높다.
 

 - 몸통의 색깔은 중요하지 않으며 직전 봉과의 갭 여부는 매우 중요하다.
 

 - 물론 현실적으로는 갭 없이 나타나는 유성형이 많지만 보다 진정한 의미의 유성형은 직전 봉과의 갭이 필수적이다.
 

 - 또한 Shooting Start는 2~3개의 봉을 합성하였을 때 명확하게 나타나는 경우도 있다.
 그런 경우 신뢰도가 더 높아지기 때문에 전후의 봉을 합성하여 살펴볼 필요도 있다."
Inverted Hammer,상승 반전 형태,"- 주가 하락 국면 중 하락 추세의 바닥에서 나타난 상승 시도이다.
 

 - 종가가 거의 시초가 수준으로 마감하여 매우 짧은 몸통과 긴 윗꼬리를 이루는 형태이다.
 

 - 몸통의 색깔은 큰 의미가 없다.
 

 - 다음에 나타날 캔들이 갭을 형성하고 긴 몸통을 형성하면 단기적으로 보다 확실한 추세 반전의 신호로써 의미가 있다."
Hammer,상승 반전 형태,"- 주가 하락 국면의 저점에서 주로 나타난다.
 

 - 작은 몸통과 긴 아랫꼬리를 이루며 윗꼬리가 전혀 없거나 거의 없는 형태이다.
 

 - 일반적으로는 몸통의 색깔과는 관계가 없지만 음봉보다는 양봉이, 몸통의 길이가 짧을수록, 그리고 꼬리가 길수록 추세 전환 신호로서의 의미가 더 크다.
 

 - 보다 확실한 추세 전환시기 판단을 위해서는 반드시 이후의 가격 변화 추이를 확인해야 한다."
Bullish Belt Hold,상승 반전 형태,"- 주로 하락 추세의 마지막 추세에서 나타난다.
 

 - 이후 강세 전환 가능성이 매우 높은 패턴이다.
 

 - 시가가 당일의 저가이며, 짧은 윗꼬리를 보인다.
 

 - 몸통의 길이가 길수록 신뢰도는 증가한다."
Three White soldier,상승 반전 형태,"- 종가가 상승하는 양봉이 연속적으로 이어지는 패턴으로 대표적인 강세 예고 패턴이다.
 

 - 형태상으로는 윗꼬리와 아랫꼬리가 없거나 짧은 양봉 세 개가 연속적으로 나타나는 것을 뜻한다. (적삼병)
 

 - 일반적으로 각 양봉의 시가는 직전 봉의 몸통 안에 있어 세 개의 양봉이 맞물리며 상승하는 모습을 나타낸다.
 

 - 만일 두 번째나 세 번째 양봉이 길게 늘어나는 경우(즉 급상승하는 경우), 과열 국면에 진입할 가능성도 있다."
Bullish Engulfing,상승 반전 형태,"- 하락 추세에서 형성되는 이 패턴은 전일 음봉의 몸통을 다음날의 긴 양봉의 몸통이 감싸 안는 형태로 이전까지의 하락 추세를 상승으로 반전 시킬 가능성이 매우 높은 패턴이다.
 

 - 두 번째 봉에 대량거래가 수반되었다면 더욱 의미있다.
 

 - 신뢰도가 높다."
Bullish Harami,상승 반전 형태,"- 짧은 양봉이 전일의 긴 음봉에 의해 감싸이는 패턴이다.
 

 - 주가의 하락 추세가 진행된 이후 이 패턴이 나타나면 일반적으로 상승 추세로 반전될 가능성이 높다.
 

 - 그러나 이 패턴이 출현한 이후 주가가 상승 반전이 안된다면 기존의 약세 추세가 더욱 강화되어 나타날 가능성이 크다."
Bullish Harami Cross,상승 반전 형태,"- 짧은 양봉(또는 십자형)이 전일의 긴 음봉에 의해 감싸인 패턴이다.
 

 - 주가가 하락 추세가 진행된 이후 이 패턴이 나타나면 일반적으로 상승 추세로 반전될 가능성이 높다.
 

 - 그러나 이 패턴이 출현한 이후 주가가 상승 반전이 안된다면 기존의 약세 추세가 더욱 강화되어 나타날 가능성이 크다.
 

 - 일반적으로 Harami보다 강한 반전 신호로 해석된다."
Bullish Counterattack Line,상승 반전 형태,"- 상반된 두 개의 캔들로 이뤄진 패턴으로 종가가 전일의 종가와 거의 비슷한 수준에서 형성된다.
 

 - 전일에 긴 음봉이 나오고 당일에 긴 양봉이 나오면 하락 추세에서 상승 추세로 전환될 가능성이 있다.
 

 - 관통형(Piercing Line)과 비슷하지만 전일의 종가와 금일의 종가가 거의 비슷한 수준에서 형성된다는 점에서 차이가 있다.
 

 - 추세 전환 강도가 관통형에 비해 다소 약한 면이 있다.
 

 - 중요한 점은 두 번째 양봉의 시가가 매우 낮게 형성되어야 한다는 것이다.
 기존 추세를 강하게 이어가다가 크게 반전하여야 하기 때문이다."
Piercing Line,상승 반전 형태,"- 형태상으론 두 개의 몸통이 긴 캔들로 구성되어 있는데, 첫 번쨰는 음봉, 두 번째는 양봉이며 하락 추세 마지막에 나타난다.
 

 - 두 번째 양봉이 첫 음봉을 관통하여 상승하는 모습을 나타내는데 반드시 두 번째 양봉의 종가가 첫 음봉 몸통의 절반 이상을 상향 돌파하여야 한다.
 

 - 상향 돌파하지 못한 패턴은 트러스팅 패턴이라 하여 하락 지속형 패턴이 된다.
 

 - 이전의 하락 추세 에너지가 거의 소멸되어 하락 추세를 마감하고 상승 전환될 가능성이 매우 큰 패턴이다."
Morning Star,상승 반전 형태,"- 대표적인 상승 반전형으로 발생 빈도가 매우 높다.
 

 - 하락 추세에 있던 주가가 첫 번째의 긴 음봉에 이어 갭 하락한 후 두 번째 봉에서 짧은 몸통을 형성한다.
 이후 양봉이 형성되는 패턴이다.
 

 - 전일 갭 하락한 몸통이 이틀 전과 당일의 몸통 안으로 진입하지 못한 경우 Morning Star라고 한다.
 

 - 이는 전일까지 장세 전망이 불투명하기 때문으로 나타나는 현상인데 하락 추세를 마감하고 이후 주가가 상승 전환될 것으로 예상할 수 있다.
 

 - Morning Star가 양봉이든 음봉이든 상관 없으나, 양봉이면 신뢰도가 높다."
Bullish Doji Star,상승 반전 형태,"- Morning Star의 변형 패턴으로 전일 스타형이 아닌 십자형(Doji)이 출현하는 점에서 차이가 있다.
 

 - 즉 이틀 전 긴 음봉이 나타나고 전일의 캔들이 갭 하락한 십자형이며 당일에 양봉이 나타나는데 전일의 십자형이 이틀 전과 당일의 몸통에 못미치는 형태이다.
 

 - Morning Star와 모양은 유사하나 신뢰성이 더 강한 패턴이다."
Bullish Abandoned Baby,상승 반전 형태,"- 출현 빈도는 낮다. 하지만, 다른 패턴보다도 추세 전환 강도가 높은 특징이 잇다.
 

 - 전일 Doji형 패턴이 이틀 전과 당일의 몸통과 갭을 이루며 하락하였다가 당일에 추세가 반전되는 패턴이다.
 

 - 여기서 전일 출현한 십자형은 이틀 전과 당일의 가격 범위를 벗어난 채 갭을 형성한다."
Three Inside Up,상승 반전 형태,"- 이전 두 개의 캔들이 Bullish Harami 패턴으로 나타나고, 당일의 캔들이 강세 전환을 확인시켜주는 패턴이다.
 

 - 현재봉의 종가가 첫 번째 봉의 시가와 두 번째 봉의 종가를 초과하는 상승세를 기록하며 마감되는 패턴이다.
 

 - 일단 이 패턴이 형성된 이후에는 이전까지의 하락 추세를 마감하고 강한 상승세로 전환될 것으로 예상할 수 있다.
 

 - 신뢰도가 매우 높다."
Three Outside Up,상승 반전 형태,"- 이전 두 개의 캔들이 Bullish Engulfing 패턴으로 나타나고, 현재봉의 캔들이 강세 전환을 확인시켜주는 패턴이다.
 

 - 현재봉의 종가가 첫 번째 봉 시가와 두 번째 봉의 종가를 초과하는 상승세를 기록하며 마감되는 패턴이다.
 

 - 일단 이 패턴이 형성된 이후에는 이전까지의 하락 추세를 마감하고 강한 상승세로 전환될 것으로 예상할 수 있다"
Ladder Bottom,상승 반전 형태,"- 대표적인 강세 반전신호이다.
 

 - 하락 추세가 3일 연속 지속(흑삼병)되다가 4일째 되는 날 대부분의 거래가 시가 위에서 이루어졌다면 비록 그날 하락으로 마감한다고 하여도 하락 추세가 마무리 되어감을 암시한다.
 

 - 전일 캔들은 윗꼬리가 있고, 작은 몸통이 있는 캔들로 이루어진다.
 

 - 그 다음날 상승 갭을 시현하면서 전일의 고점보다 높게 끝난다면 강세 반전의 신호가 나타났다고 보아도 무방하다.
 

 - 마지막날 장봉이 아니더라도 거래량이 수반된다면 반전이 더욱 확정적이다."
Tweezers Bottom,상승 반전 형태,"- 하락 추세에 있던 두 개 또는 그 이상의 캔들이 더 이상 저점을 갱신하지 못하면서 저가를 이전 캔들과 일치시키는 형태를 보이는 패턴이다.
 

 - 다른 패턴과 중복되어 출현할 가능성이 높으며 일반적으로 지지선의 역할을 한다.
 

 - 동일한 저점을 형성하는 캔들의 수가 많을수록 이후에 상승 전환될 경우 상승 추세가 더욱 강화되는 특성이 있다."
Three Inside Down,하락 반전 형태,"- 이전 두 개의 캔들이 Bearish Harami 패턴으로 나타나고, 현재봉의 캔들이 약세 전환을 확인시켜주는 패턴이다.
 

 - 현재봉의 종가가 첫 번째 봉의 시가와 두 번째 봉의 종가를 뛰어넘는 하락세를 기록하며 마감되는 패턴이다.
 

 - 일단 이 패턴이 형성된 이후에는 이전까지의 상승 추세를 마감하고 강한 하락세로 전환될 것으로 예상할 수 있다.
 

 - 신뢰도가 매우 높다."
Three Outside Down,하락 반전 형태,"- 이전 두 개의 캔들이 Bearish Engulfing 패턴으로 나타나고, 현재봉의 캔들이 약세 전환을 확인시켜주는 패턴이다.
 

 - 현재봉의 종가가 첫 번째 봉 시가와 두 번째 봉의 종가를 뛰어넘는 하락세를 기록하며 마감되는 패턴이다.
 

 - 일단 이 패턴이 형성된 이후에는 이전까지의 상승 추세를 마감하고 강한 하락세로 전환될 것으로 예상할 수 있다"
Tweezers Top,하락 반전 형태,"- 상승 추세에 있던 두 개 또는 그 이상의 캔들이 더 이상 고점을 갱신하지 못하면서 고점을 이전 캔들과 일치시키는 형태를 보이는 패턴이다.
 

 - 다른 패턴과 중복되어 출현할 가능성이 높으며 일반적으로 저항선의 역할을 한다.
 

 - 동일한 고점을 형성하는 캔들의 수가 많을수록 이후에 하락 전환될 경우 하락 추세가 더욱 강화되는 특성이 있다."
Advance Block,하락 반전 형태,"- 주가가 상승 추세를 이어가다 매수탄력이 약화되어 추가 상승이 부담스러운 상황에서 나타난다.
 

 - 이틀 전 캔들의 몸통에 비해 당일과 전일의 몸통이 짧고 윗꼬리는 길게 형성되는 패턴이다.
 

 - 거래량이 감소된다."
Bearish Stalled Pattern,하락 반전 형태,"- 상승 추세에서 나타나며 고점 돌파 후 스타형과 유사한 패턴이 출현한 후 작은 몸통의 양봉이 나타나 조정 국면에 접어든 경우를 예상할 수 있다.
 

 - 세 번째 봉까지 모두 다 양봉이 기록되어야 한다.
 

 - 이 작은 양봉은 기존 강세의 지연이나 쉬어감을 뜻한다.
 

 - 단기 매매를 하는 사람들은 이 패턴을 이익 실현하는데 사용한다.
 

 - 상승 추세의 끝에서 나타나며 상승세의 정체를 알린다."
Upside Gap Tasuki,상승 지속 형태,"- 출현빈도가 그리 크지 않다.
 

 - 상승 추세에 있던 중 긴 양봉과 함께 갭 상승한 후 또 다시 양봉이 나타나 상승 추세가 지속되다가 당일에 하락하는 반전 형태를 보인다.
 

 - 여기서 당일의 음봉은 이전의 갭을 완전히 메우지 못하는 패턴이다.
 

 - 이 패턴은 이전 상승 추세의 지속을 의미한다.
 

 - 마지막 음봉의 종가 수준을 매수하는 시점으로 판단해도 무리 없다."
Upside Gap Three Methods,상승 지속 형태,"- Upside Gap Tasuki와 유사한 형태이나 마지막봉 앞에서 형성된 갭을 메운다는 점에서 차이가 있다.
 

 - 강한 상승 추세에서 잘 나타나는데, 두 개의 긴 양봉과 상승 갭이 이를 뒷받침 해주고 있다.
 

 - 두 번째 양봉은 반드시 갭을 형성해야 하며, 세 번쨰의 음봉은 반드시 갭을 메워야 한다.
 

 - 일반적으로 이러한 갭메우기는 추세 강화의 형태로 간주되어 기존 추세는 이어진다고 판단된다."
Bullish Stalled Pattern,상승 반전 형태,"- 하락 추세에서 나타나며 저점 기록 후 스타형과 유사한 패턴이 출현한 후 작은 몸통의 음봉이 나타나 상승 추세에 접어든 경우를 예상할 수 있다.
 

 - 세 번째 봉까지 모두 다 음봉이 기록되어야 한다.
 

 - 세 번째의 작은 음봉은 기존 약세의 지연이나 쉬어감을 뜻한다.
 

 - 하락 추세의 끝에서 나타나며 하락세의 정체를 알린다."
Downside Gap Tasuki,하락 지속 형태,"- 하락 추세에 있던 중 긴 음봉과 함께 갭 하락한 후 또 다시 음봉이 나타나 하락 추세가 지속되다가 당일에 상승하는 반전 형태를 보인다.
 

 - 여기서 당일의 양봉은 이전의 갭을 완전히 메우지 못하는 패턴이다.
 

 - 이 패턴은 이전 하락 추세의 지속을 의미한다."
Downside Gap Three Methods,하락 지속 형태,"- Downside Gap Tasuki와 유사한 형태이나 마지막봉 앞에서 형성된 갭을 메운다는 점에서 차이가 있다.
 

 - 강한 하락 추세에서 잘 나타나는데, 두 개의 긴 음봉과 하락 갭이 이를 뒷받침 해주고 있다.
 

 - 두 번째 음봉은 반드시 갭을 형성해야 하며, 세 번쨰의 양봉은 반드시 갭을 메워야 한다.
 

 - 일반적으로 이러한 갭메우기는 추세 강화의 형태로 간주되어 기존 추세는 이어진다고 판단된다."
Falling Three Methods,하락 지속 형태,"- 출현빈도가 그리 크지 않다.
 

 - 하락 추세 도중에 긴 음봉을 형성한 후 작은 몸통을 가진 양봉이 연속적으로 출현함으로써 대부분의 투자자들이 상승 전환을 예상한다. 
 

 - 하지만 작은 몸통 연속 출현 후 지금까지의 작은 몸통들을 모두 포함하는 음봉이 나타난다.
 

 - 이때 신저가를 형성하고, 하락 추세가 지속된다는 신호이다."
Bearish On Neck,하락 지속 형태,"- 첫 번째 음봉과 함께 갭하락을 형성한다.
 

 - 두 번째 봉도 시가에 하락 갭을 형성하지만, 반전하여 상승세를 타나낸다.
 

 - 한편 종가는 전봉의 저점과 유사한 수준에서 형성되나, 전봉의 음봉 안으로까지 상승하지는 못한다.
 

 - 이는 강세가 하락세를 반전시키지 못하고 강세 심리가 빠르게 사라져 하락추세가 강화된다.
 

 - 시장 상황에 따라 잠재적인 추세 반전이나 상향 조정을 나타낼 수 있다. (즉 거짓신호일 수 있다.)"
Bearish In Neck,하락 지속 형태,"- 첫 번째 음봉과 함께 갭하락을 형성한다.
 

 - 두 번째 봉도 시가에 하락 갭을 형성하지만, 반전하여 상승세를 타나낸다.
 

 - 한편 종가는 전봉의 저점과 유사하거나 약간 높은 가격에 마감한다.
 

 - 이는 강세가 하락세를 반전시키지 못하고 강세 심리가 빠르게 사라져 하락추세가 강화된다.
 

 - 시장 상황에 따라 잠재적인 추세 반전이나 상향 조정을 나타낼 수 있다. (즉 거짓신호일 수 있다.)"
Evening Star,하락 반전 형태,"- 대표적인 하락 반전형으로 발생 빈도가 매우 높다.
 

 - 상승 추세에 있던 주가가 첫 번째의 긴 양봉에 이어 갭 상승한 후 두 번째 봉에서 짧은 몸통을 형성한다.
 이후 음봉이 형성되는 패턴이다.
 

 - 두 번째에서 갭 상승한 몸통이 첫 번째 봉과 현재봉의 몸통 안으로 진입하지 못한 경우 Evening Star라고 한다.
 

 - 이는 전까지 장세 전망이 불투명하기 때문으로 나타나는 현상인데 상승 추세를 마감하고 이후 주가가 하락 전환될 것으로 예상할 수 있다.
 

 - Evening Star가 양봉이든 음봉이든 상관 없으나, 음봉이면 신뢰도가 높다."
Hanging Man,하락 반전 형태,"- 주가 상승 국면중에 고점에서 나타난다.
 

 - 작은 몸통과 긴 아랫꼬리를 이루며 윗꼬리가 전혀 없거나 거의 없는 형태이다.
 

 - 일반적으로는 몸통의 색깔과는 관계가 없지만 양봉보다는 음봉이, 몸통의 길이가 짧을수록, 그리고 꼬리가 길수록 추세 전환 신호로서의 의미가 더 크다.
 

 - 보다 확실한 추세 전환시기 판단을 위해서는 반드시 이후의 가격 변화 추이를 확인해야 한다."
Bearish Belt Hold,하락 반전 형태,"- 주로 상승 추세의 마지막 추세에서 나타난다.
 

 - 이후 약세 전환 가능성이 매우 높은 패턴이다.
 

 - 시가가 당일의 고가이며, 짧은 아랫꼬리를 보인다.
 

 - 몸통의 길이가 길수록 신뢰도는 증가한다."
Bearish Triple Star,하락 반전 형태,"- 상당기간동안 상승 추세를 나타낸 후 세 봉 모두 십자형(Doji)이 나타난다.
 

 - 두 번째 봉에서 상승 갭을 형성하거나, 윗꼬리와 아랫꼬리가 겹치고 현재봉에서 다시 하락하면 Bearish Triple Star를 형성하였다고 할 수 있다.
 

 - 상당기간 지속된 상승 추세가 첫 번째 Doji가 나타남으로써 힘이 약화되고 있음을 알 수 있다.
 

 - 두 번째 Doji가 갭과 함께 나타남으로써 상승 추세의 힘이 소진되었음을 확인할 수 있다.
 

 - 이 때 세 번째 Doji가 하락 반전의 모습으로 나타난다.
 

 - 매우 희귀하지만 무시할 수 없는 강한 반전의 신호이다.
 

 - 거래량, 추세 지표와 같은 여타 기술적 지표들도 참조하여 기존의 추세가 약화됨을 확인할 필요가 있다."
Bearish Engulfing,하락 반전 형태,"- 상승 추세에서 형성되는 이 패턴은 전일 양봉의 몸통을 다음날의 긴 음봉의 몸통이 감싸 안는 형태로 이전까지의 상승 추세를 하락으로 반전 시킬 가능성이 매우 높은 패턴이다.
 

 - 두 번째 봉에 대량거래가 수반되었다면 더욱 의미있다.
 

 - 신뢰도가 높다."
Bearish Harami,하락 반전 형태,"- 짧은 음봉이 전일의 긴 양봉에 의해 감싸이는 패턴이다.
 

 - 주가의 상승 추세가 진행된 이후 이 패턴이 나타나면 일반적으로 하락 추세로 반전될 가능성이 높다.
 

 - 그러나 이 패턴이 출현한 이후 주가가 하락 반전이 안된다면 기존의 강세 추세가 더욱 강화되어 나타날 가능성이 크다."
Three Black Crow,하락 반전 형태,"- 형태상으로는 윗꼬리와 아랫꼬리가 없거나 짧은 음봉 세 개가 연속적으로 나타나는 것을 뜻한다. (흑삼병)
 

 - 일반적으로 각 음봉의 시가는 직전 봉의 몸통 안에 있어 세 개의 음봉이 맞물리며 하락하는 모습을 나타낸다.
 

 - 특히 첫 음봉의 종가와 두 번째 음봉의 시가가 같고, 세 번째 음봉의 시가가 두 번째 음봉의 종가와 같은 형태로 나타나는 것을 ‘동일 흑삼병’ 이라고 하는데, 이 패턴이 나타나면 더욱 강한 매도신호로 간주한다."
Bearish Harami Cross,하락 반전 형태,"- 짧은 음봉(또는 십자형)이 전일의 긴 양봉에 의해 감싸인 패턴이다.
 

 - 주가가 상승 추세가 진행된 이후 이 패턴이 나타나면 일반적으로 하락 추세로 반전될 가능성이 높다.
 

 - 그러나 이 패턴이 출현한 이후 주가가 하락 반전이 안된다면 기존의 강세 추세가 더욱 강화되어 나타날 가능성이 크다.
 

 - 일반적으로 Harami보다 강한 반전 신호로 해석된다."
Dark Cloud Cover,하락 반전 형태,"- 형태상으론 두 개의 몸통이 긴 캔들로 구성되어 있는데, 첫 번째는 양봉, 두 번째는 음봉이며 상승 추세 마지막에 나타난다.
 

 - 두 번째 음봉이 첫 번째 양봉을 관통하여 하락하는 모습을 나타낸다.
 

 - 두 번째 음봉의 종가가 첫 번째 양봉 몸통의 절반 이하에 하향 위치하면 좀 더 신뢰성이 높다고 할 수 있다.
 

 - 만일 두 번째 봉의 하향 위치 정도가 심하여 첫 번째 양봉을 감싸면 Bearish Engulfing이 된다.
 

 - 명확한 상승 추세 후 발생했거나, 두 번째 음봉이 저항 수준에 걸쳐 있는 경우, 그리고 두 번째 봉이 거래를 많이 수반했다면 하락 반전에 대한 가능성은 더욱 높다."
Bearish Doji Star,하락 반전 형태,"- Evening Star의 변형 패턴으로 전일 스타형이 아닌 십자형(Doji)이 출현하는 점에서 차이가 있다.
 

 - 즉 이틀 전 긴 양봉이 나타나고 전일의 캔들이 갭 상승한 십자형이며 당일에 음봉이 나타나는데 전일의 십자형이 이틀 전과 당일의 몸통에 못미치는 형태이다.
 

 - Evening Star와 모양은 유사하나 신뢰성이 더 강한 패턴이다."
Bearish Abandoned Baby,하락 반전 형태,"- 출현 빈도는 낮다. 하지만, 다른 패턴보다도 추세 전환 강도가 높은 특징이 잇다.
 

 - 전일 Doji형 패턴이 이틀 전과 당일의 몸통과 갭을 이루며 상승하였다가 당일에 추세가 반전되는 패턴이다.
 

 - 여기서 전일 출현한 십자형은 이틀 전과 당일의 가격 범위를 벗어난 채 갭을 형성한다."
Downside Gap Two Rabbits,상승 반전 형태,"- 형태상으로 땅바닥 위에 앉아 위를 올려다 보는 두 마리의 토끼를 닮았다고 하여 붙여진 이름이다.
 

 - 첫 번째 캔들은 긴 음봉이며, 두 개의 짧은 양봉이 하락 갭을 두고 나타난다.
 

 - 이상적인 형태는 두 번째 양봉이 세 번째 양봉에 감싸이는 것이다.
 

 - 매우 드물게 나타나지만 하락 추세 마지막에 나타났다면 명백한 상승 예고 신호이다."
Upside Gap Two Crows,하락 반전 형태,"- 형태상으로 나뭇가지 위에 앉아 아래를 내려다 보는 두 마리의 까마귀를 닮았다고 하여 붙여진 이름이다.
 

 - 첫 번째 캔들은 긴 양봉이며, 두 개의 짧은 음봉이 상승 갭을 두고 나타난다.
 

 - 이상적인 형태는 두 번째 음봉이 세 번째 음봉에 감싸이는 것이다.
 

 - 매우 드물게 나타나지만 상승 추세 마지막에 나타났다면 명백한 하락 예고 신호이다."
Bearish Counterattack Line,하락 반전 형태,"- 상반된 두 개의 캔들로 이뤄진 패턴으로 종가가 전일의 종가와 거의 비슷한 수준에서 형성된다.
 

 - 전일에 긴 양봉이 나오고 당일에 긴 음봉이 나오면 상승 추세에서 하락 추세로 전환될 가능성이 있다.
 

 - 흑운형(Dark Cloud Cover)과 비슷하지만 전일의 종가와 금일의 종가가 거의 비슷한 수준에서 형성된다는 점에서 차이가 있다.
 

 - 추세 전환 강도가 흑운형에 비해 다소 약한 면이 있다.
 

 - 중요한 점은 두 번째 음봉의 시가가 매우 높게 형성되어야 한다는 것이다.
 기존 추세를 강하게 이어가다가 크게 반전하여야 하기 때문이다."
Bullish Triple Star,상승 반전 형태,"- 상당기간동안 하락 추세를 나타낸 후 세 봉 모두 십자형(Doji)이 나타난다.
 

 - 두 번째 봉에서 하락 갭을 형성하거나, 윗꼬리와 아랫꼬리가 겹치고 현재봉에서 다시 상승하면 Bullish Triple Star를 형성하였다고 할 수 있다.
 

 - 상당기간 지속된 하락 추세가 첫 번째 Doji가 나타남으로써 힘이 약화되고 있음을 알 수 있다.
 

 - 두 번째 Doji가 갭과 함께 나타남으로써 하락 추세의 힘이 소진되었음을 확인할 수 있다.
 

 - 이 때 세 번째 Doji가 상승 반전의 모습으로 나타난다.
 

 - 매우 희귀하지만 무시할 수 없는 강한 반전의 신호이다.
 

 - 거래량, 추세 지표와 같은 여타 기술적 지표들도 참조하여 기존의 추세가 강화됨을 확인할 필요가 있다."