지표명,권장 파라미터,권장기간,설명,성격,시그널,주의
BB (Bollinger Bands),"기본 (20, 2). 단기선(10,2)으로 민감도 ↑, 스윙용은 (20,2) 유지.",단기~중기 (20-period 기준이 가장 보편적).,"중앙선 = 보통 20기간 MA, 상/하밴드 = 평균 ± k·표준편차(보통 k=2).","변동성 측정 지표, 추세 지표","- 밴드 수축 → 돌파(확장) 시 추세 시작 가능성(돌파 방향으로).
 

 - 가격이 상단에 지속 머무르면 추세(상승) 지속 가능성. 
 

 - 밴드 터치 자체는 약한 신호(특히 강추세에서는 무시되기도 함).","변동성·추세 확인을 위해 볼린저 단독 사용 금지 — 거래량·추세지표(EMA, ADX)와 동시 확인 필요."
RSI (Relative Strength Index),"단기 6~9, 중기 14, 장기 21. 임계치는 시장 변동성에 따라 70/30 → 80/20로 조정.","단기~중기
 - 단기 트레이드: RSI(6) 또는 RSI(9) — 반응 빠르지만 노이즈↑ (스캘핑/데이 트레이드)
 

 - 중기 스윙: RSI(14) (균형적)
 

 - 장기: RSI(14~21) 주봉 기준 사용 가능",일정기간(일반 14)의 평균상승폭 / 평균하락폭 비율을 0~100 범위로 표준화한 오실레이터.,오실레이터,"- 표준 70/30(또는 80/20) 임계치, 다이버전스(바닥/꼭대기)로 전환 포착, 레인지에서의 신뢰도 높음.",
"IC (일목균형표, Ichimoku Cloud)","표준 (9,26,52)","중기~장기 (단기에도 쓰지만, 일목의 원래 목적은 중~장기 추세판단)","전환선(9), 기준선(26), 선행스팬(선행A, 선행B=52) 등 여러 구성 요소로 추세·지지/저항·균형을 한 번에 제공. 
 

 후행스팬은 과거 가격과의 관계로 추세 확인.
 

 추세 방향·구름(지지/저항)·전환 신호(구름 돌파, 기준선 교차) 제공.",추세 지표,"- 구름 위/아래에 위치 여부(추세 상태), 전환선↔기준선 교차(단기 전환), 구름 돌파(중·장기 전환 신뢰도 높음).","복합적이므로 각 요소(전환선, 기준선, 구름, 후행스팬)를 분리해 해석해야 함."
VWAP (Volume Weighted Average Price),"Bands: 1, 1.5, 2",단기(데이 트레이드 / 당일) — 일봉 이상에선 쓰임새 제한적.,당일 거래량으로 가중한 평균가격. 세션(당일) 단위의 가격 벤치마크.,추세 지표,"- 가격 > VWAP → 매수 우위(기관 바이인), 가격 < VWAP → 매도 우위. 
 

 - VWAP 리테스트(지지/저항)에서 롱/숏 판단.",단기 트레이딩용으로 쓸 것.
MA (Simple Moving Average),"- 단기 매매: MA(5~10) 또는 EMA 대체
 

 - 중기 스윙: MA(20,50) — 20이 단기 중심, 50이 중기 중심
 

 - 장기 트렌드: MA(100,200) — 방향성 판단·장기 지지선",단기~장기 전 범위,단순 평균. 기간에 따라 노이즈 제거/추세 확인,추세 지표,"- 크로스(단기 MA가 장기 MA를 상향 돌파 = 골든 크로스), MA 기울기(추세 강도), 가격-이탈 정도(평균회귀성) 확인.",
EMA (Exponential Moving Average),"- EMA(8,21) 단기 트레이드
 

 - EMA(21,55) 스윙 조합",단기~중기에 특히 유리.,지수가중치를 둔 이동평균 → 최근 가격에 더 민감.,추세 지표,"- EMA 리테스트(지지/저항), EMA 크로스(빠른 진입 신호).",
VP (Volume Profile),,중기~장기(프로필은 세션·주간·월간 단위로 나눠서 해석),"특정 기간(세션/일/주)의 가격 축(가격 레인지)에 체결된 거래량을 수평 막대로 표시.
 

 지지/저항 식별에 매우 유용",수급/분포 지표(기타),"- POC(Point of Control, 거래량 집중 구간) = 강한 지지/저항. 
 

 - VAH/VOL(Volume Area High/Low)로 매수·매도 구역 판단.",시야(세션 길이)에 따라 전혀 다른 분포가 나옴 → 항상 동일한 기간 기준으로 비교.
MACD (Moving Average Convergence Divergence),"- 단기: 5, 20
 - 중기: 5, 40
 - 장기: 20, 40
 - 평균: 일봉 12/26/9 (중기, 스윙)",중기(스윙) 중심.,"단기 EMA(보통12) − 장기 EMA(26) = MACD 선, Signal(9)과의 교차/히스토그램(차이)으로 표현.","오실레이터, 추세 전환 지표, 추세 지표","- MACD 선과 시그널선 교차, 히스토그램 수평 전환(0선 교차 포함)
 

 - 다이버전스.",추세가 강할 때 교차 신호는 지연될 수 있음 — ADX 등으로 추세 강도 확인.
DMI (Directional Movement Index),,중기 (일봉 기준 14가 보편적).,#ERROR!,"추세 방향 지표, 추세 지표","- +DI > −DI이면 상승 우위. DI 간 교차는 추세전환의 초기 신호
 

 - ADX와 같이 쓰면 신뢰도↑.",
ADX (Average Directional Index),,중기~장기 (일봉 ADX(14) 기본).,DMI 기반으로 추세의 ‘강도’만을 수치화(0~100). 보통 25 이상이면 의미 있는 추세.,"추세 강도 지표, 추세 지표","- ADX 상승 +DI/−DI 구분으로 ‘강한 추세의 방향’ 판단. 
 

 - ADX가 낮으면 레인지(오실레이터 신호 활용).",
Stochastic (스토캐스틱),"일반 14,3,3. 단기선(5,3,3) → 민감도↑.",단기 (빠른 반응을 요구하는 트레이딩에 적합).,"현재 종가가 일정 기간(예: 14) 고저범위에서 어떤 위치에 있는지(%) 를 나타내는 오실레이터 (%K, %D).
 

 단기 과매수·과매도 판단",오실레이터,%K가 %D를 위에서 아래로 교차 → 매도 신호(과매수 상황에서 신뢰도↑). 다이버전스 활용.,
"CCI (Commodity Channel Index, 상품채널지수)",,,평균 이탈도 기반으로 시장의 과열·침체 국면 포착,오실레이터,,
Stochastic RSI,,,"RSI 값의 상대적 위치를 스토캐스틱 방식으로 정규화하여, 모멘텀 변동의 극단값(과매수·과매도)을 더 민감하게 탐지",오실레이터,,